sex,marital status,age,size,type,country
Male,Married,34,Large,Family,American
Male,Single,36,Small,Sporty,Japanese
Male,Married,23,Small,Family,Japanese
Male,Single,29,Large,Family,American
Male,Married,39,Medium,Family,American
Male,Single,34,Medium,Family,Japanese
Female,Married,42,Large,Family,American
Female,Married,40,Medium,Family,European
Male,Married,28,Medium,Sporty,American
Female,Married,26,Medium,Family,American
Female,Married,26,Small,Sporty,European
Male,Single,26,Medium,Sporty,European
Female,Married,37,Medium,Sporty,American
Male,Single,25,Small,Sporty,Japanese
Female,Single,27,Medium,Family,Japanese
Male,Married,41,Large,Family,American
Male,Single,35,Small,Sporty,American
Male,Single,23,Medium,Work,American
Male,Married,28,Small,Family,Japanese
Male,Married,38,Medium,Family,European
Female,Married,25,Small,Family,Japanese
Male,Married,30,Medium,Family,Japanese
Male,Married,36,Large,Family,American
Female,Single,29,Small,Sporty,European
Female,Married,31,Medium,Family,European
Female,Married,26,Medium,Sporty,European
Male,Single,23,Small,Sporty,Japanese
Female,Married,31,Medium,Sporty,American
Female,Married,31,Small,Sporty,Japanese
Male,Married,35,Small,Sporty,American
Female,Married,25,Medium,Family,Japanese
Male,Single,21,Small,Sporty,American
Female,Married,28,Medium,Family,European
Male,Married,27,Small,Work,Japanese
Male,Married,35,Large,Work,American
Male,Single,24,Medium,Sporty,Japanese
Female,Single,29,Medium,Family,American
Male,Married,34,Small,Family,European
Female,Married,28,Medium,Family,European
Male,Married,37,Small,Work,American
Female,Married,25,Small,Sporty,Japanese
Female,Married,24,Medium,Sporty,American
Female,Single,23,Small,Sporty,American
Female,Single,25,Medium,Sporty,Japanese
Male,Married,34,Medium,Family,American
Male,Single,25,Small,Family,Japanese
Female,Married,31,Medium,Family,Japanese
Male,Single,26,Medium,Sporty,American
Male,Married,31,Small,Work,European
Male,Married,34,Small,Sporty,European
Female,Married,29,Small,Family,Japanese
Male,Married,33,Medium,Family,American
Female,Married,32,Medium,Family,Japanese
Male,Married,36,Small,Family,Japanese
Male,Single,32,Medium,Family,Japanese
Male,Married,27,Small,Family,American
Male,Married,28,Medium,Sporty,Japanese
Male,Single,27,Large,Family,American
Male,Married,36,Small,Sporty,European
Female,Married,27,Large,Family,American
Male,Married,37,Large,Family,American
Female,Single,31,Small,Work,Japanese
